date,[btc] TBTC,[btc] WBTC,[btc] renBTC,[btc] SBTC,[stablecoin] DAI,[stablecoin] USDC,[stablecoin] USDT,[veth2] WETH,[veth2] vETH2,[aleth] WETH,[aleth] alETH,[aleth] sETH,[d4] alUSD,[d4] FEI,[d4] FRAX,[d4] LUSD,[stablecoin_v2] DAI,[stablecoin_v2] USDC,[stablecoin_v2] USDT
2021-10-27T00:00:00+00:00,89930.00251158535,0,0,0,0,0,0,0,0,0,0,0,0,0,297157.145210685235,297010.707560219322,100.0019843635887645,4697.5692470000000000,128962.2411380000000000
2021-10-26T00:00:00+00:00,62701.10837801709,0,0,0,0,0,0,0,0,124963.72629939072,21034.540471445045,0,224032.1074767174571754,747657.637929521928,204220.034051334662,0,15.0029964907896450,1674.9813270000000000,1676.8076840000000000
2021-10-25T00:00:00+00:00,127444.32245796308,0,1311760.287006039,819755.1689177083,0,0,0,0,0,57807.95142344473,0,0,4666.7623932974947186,0,0,942418.3132863627773241,816.9980372309832363,1768.7461640000000000,101.0075420000000000
2021-10-24T00:00:00+00:00,122362.17151627224,11981.2901463345,0,0,0,0,0,0,0,96858.72949984322,170842.58745529628,1591.44252528358,513988.5218340845001534,350338.307177827417,227240.960046788505,337705.503375500964,60486.2447103422855481,75718.5634440000000000,153757.5695780000000000
2021-10-23T00:00:00+00:00,70104.54187125363,397.5829238295,0,303398.9244398266,0,0,0,0,0,545595.2371141193,985.0364536470811,369.3653012239606,0,563729.079363111001,0,540315.920528048165,129386.13607051949204322500,71949.37264000000000000000,27788.4300950000000000
2021-10-22T00:00:00+00:00,0,76013.7563700124,0,0,0,0,0,0,0,315465.8370248703,49836.09439592041,17794.423345259675,0,648068.411109895803,442741.475012149060,0,289253.74135864050550158900,98331.6444960000000000,60375.5474130000000000
2021-10-21T00:00:00+00:00,11374.50810519788,0,0,0,0,0,0,0,0,163864.74605787254,0,0,0,385208.1296584078143477,403825.253002888426,771557.304469693535,9261.3804487535372925,668248.6744980000000000,631588.1687420000000000
2021-10-20T00:00:00+00:00,183013.01746193235,0,0,0,0,0,5661.5397580000000000,0,0,11354.860696004129,0,0,0,0,4106.4843766765300563,216028.143780656393,1129.4581346532794467,483761.8694100000000000,253854.2621350000000000
2021-10-19T00:00:00+00:00,647.6794560339355,9952.824275197,0,0,0,0,379.8312130000000000,0,0,724532.0151699063,0.01869744007196151,7522.31090619447,2617.0226193299325557,144872.5584270976190122,0,79993.056042203338,3278.0865855622898183,46889.6540380000000000,224461.4074880000000000
2021-10-18T00:00:00+00:00,9110.170161498969,18008.839387430402,384898.9982365536,0,0,1858.9691940000000000,4402.9245370000000000,0,0,612755.4862240033,1083.8172600652745,1459.4932378680176,425770.242587755222,545814.755931879901,2574.3500630531928731,300938.415368954747,4188.1175162836389158,52523.5946030000000000,44625.48456300000000000000
2021-10-17T00:00:00+00:00,140363.9853108842,16288.515472914998,0,120464.0000709783,0,0,911.5735340000000000,0,0,16249.219204325833,382435.06047431123,5760.033630711459,4857.2875782708989589,559302.7695514432605794,557640.956954016712,361830.562442641497,18074.31911061454779815400,68049.12646400000000000000,65355.4175890000000000
2021-10-16T00:00:00+00:00,168951.72092227312,243161.724137825,0,646513.1407473038,10.1891605141256960,0,2137.3913820000000000,0,0,20327.51400143186,43493.40385430816,580.7362110611867,0,208060.8842625383275075,0,178467.4340993026386098,183439.1858573236398080,76891.83739900000000000000,33676.7050280000000000
2021-10-15T00:00:00+00:00,0,355093.01130271534,444716.067269845,628589.8185129501,0,0,0,0,0,105314.77516092417,3440.7674089720167,0,695149.5481323387349241,895580.5282790833060327,1584020.5696755770709952,2854840.780842971381,234.8128088760123302,31165.6970900000000000,16788.4189720000000000
2021-10-14T00:00:00+00:00,310938.8087293915,0,1484190.760580735,202588.10373825426,0,0,1823.4478560000000000,0,0,44992.156741717794,3901.365705063259,11642.628558563345,758571.722773176784,1009514.023881196398,0,146891.413844440897,6595.7886750543450037,39712.0842390000000000,22563.7751960000000000
2021-10-13T00:00:00+00:00,7878.185271439199,179508.9234611456,395161.2655775368,719355.7219216629,0,0,916.5501700000000000,0,0,170918.04535725623,453.7312920976101,1267.5023479672745,0,370741.778439223873,249562.907755609302,260116.6784024461644890,10912.3428457184155022,104693.4432240000000000,46188.1245870000000000
2021-10-12T00:00:00+00:00,0,7754.689374875401,0,155.83870051543903,0,0,0,0,0,1164589.0815666476,0,3518.8386829348347,0,92335.7384167613081179,0,646605.510385555321,72723.1202298070962497,84394.7849550000000000,13271.0590780000000000
2021-10-11T00:00:00+00:00,428900.99632815504,11334.3893044466,175659.1616686635,350463.07727688807,49553.963210588178,33996.469834000000,0,0,0,3398340.772104777,1926565.5962515012,873666.4659272275,0,4188.9102040476574523,98780.435197771383,98188.400105437258,1843.7285435629050231,85237.682681000000000000000000,47762.7138420000000000
2021-10-10T00:00:00+00:00,93457.816368497,16412.587315306,426086.21560272295,0,0,0,0,0,0,2147145.960555105,614512.8827595265,30386.757173413418,0,572523.5654545523452070,4732.7149595543227983,141066.279257133512,204974.85086022157387981600,110507.51686400000000000000,103422.42997700000000000000
